SearchBayesianSkoptObject: New best config found. Config 0: {'USER_CBF_Cf': 0.8200432743606894, 'USER_CF': 0.4673655627603134} - results: ROC_AUC: 0.1146494, PRECISION: 0.0187002, PRECISION_RECALL_MIN_DEN: 0.0623340, RECALL: 0.0623340, MAP: 0.0299668, MRR: 0.0820102, NDCG: 0.0514097, F1: 0.0287695, HIT_RATE: 0.1870019, ARHR: 0.0858857, RMSE: 0.9605337, NOVELTY: 0.0053528, AVERAGE_POPULARITY: 0.6036468, DIVERSITY_MEAN_INTER_LIST: 0.8881761, DIVERSITY_HERFINDAHL: 0.9888121, COVERAGE_ITEM: 0.2650987, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0766661, SHANNON_ENTROPY: 7.9382974, 
SearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'USER_CBF_Cf': 0.3063616268868236, 'USER_CF': 0.6631695225674032} - results: ROC_AUC: 0.1109163, PRECISION: 0.0180762, PRECISION_RECALL_MIN_DEN: 0.0602541, RECALL: 0.0602541, MAP: 0.0293711, MRR: 0.0803680, NDCG: 0.0500950, F1: 0.0278096, HIT_RATE: 0.1807623, ARHR: 0.0841661, RMSE: 0.9716651, NOVELTY: 0.0053164, AVERAGE_POPULARITY: 0.6210790, DIVERSITY_MEAN_INTER_LIST: 0.8777392, DIVERSITY_HERFINDAHL: 0.9877685, COVERAGE_ITEM: 0.2664504, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0703837, SHANNON_ENTROPY: 7.7583614, 
SearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'USER_CBF_Cf': 0.2061534975883494, 'USER_CF': 0.39431942868136594} - results: ROC_AUC: 0.1112073, PRECISION: 0.0181195, PRECISION_RECALL_MIN_DEN: 0.0603983, RECALL: 0.0603983, MAP: 0.0293832, MRR: 0.0804338, NDCG: 0.0501633, F1: 0.0278761, HIT_RATE: 0.1811948, ARHR: 0.0842184, RMSE: 0.9822630, NOVELTY: 0.0053188, AVERAGE_POPULARITY: 0.6198529, DIVERSITY_MEAN_INTER_LIST: 0.8785128, DIVERSITY_HERFINDAHL: 0.9878459, COVERAGE_ITEM: 0.2659638, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0707847, SHANNON_ENTROPY: 7.7703417, 
SearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'USER_CBF_Cf': 0.5019834726831875, 'USER_CF': 0.29819018517307366} - results: ROC_AUC: 0.1147177, PRECISION: 0.0186817, PRECISION_RECALL_MIN_DEN: 0.0622722, RECALL: 0.0622722, MAP: 0.0299659, MRR: 0.0820377, NDCG: 0.0513956, F1: 0.0287410, HIT_RATE: 0.1868166, ARHR: 0.0859012, RMSE: 0.9752921, NOVELTY: 0.0053513, AVERAGE_POPULARITY: 0.6042813, DIVERSITY_MEAN_INTER_LIST: 0.8878111, DIVERSITY_HERFINDAHL: 0.9887756, COVERAGE_ITEM: 0.2646121, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0764839, SHANNON_ENTROPY: 7.9316032, 
SearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'USER_CBF_Cf': 0.07778255677823943, 'USER_CF': 0.694189577354992} - results: ROC_AUC: 0.1071386, PRECISION: 0.0175141, PRECISION_RECALL_MIN_DEN: 0.0583802, RECALL: 0.0583802, MAP: 0.0284157, MRR: 0.0779659, NDCG: 0.0485184, F1: 0.0269447, HIT_RATE: 0.1751405, ARHR: 0.0815339, RMSE: 0.9782095, NOVELTY: 0.0053005, AVERAGE_POPULARITY: 0.6288721, DIVERSITY_MEAN_INTER_LIST: 0.8728612, DIVERSITY_HERFINDAHL: 0.9872807, COVERAGE_ITEM: 0.2688835, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0679130, SHANNON_ENTROPY: 7.6807659, 
SearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'USER_CBF_Cf': 0.42566032962743205, 'USER_CF': 0.918130438220519} - results: ROC_AUC: 0.1109094, PRECISION: 0.0180762, PRECISION_RECALL_MIN_DEN: 0.0602541, RECALL: 0.0602541, MAP: 0.0293711, MRR: 0.0803679, NDCG: 0.0500949, F1: 0.0278096, HIT_RATE: 0.1807623, ARHR: 0.0841660, RMSE: 0.9609728, NOVELTY: 0.0053165, AVERAGE_POPULARITY: 0.6210364, DIVERSITY_MEAN_INTER_LIST: 0.8777646, DIVERSITY_HERFINDAHL: 0.9877710, COVERAGE_ITEM: 0.2664504, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0703939, SHANNON_ENTROPY: 7.7587265, 
SearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'USER_CBF_Cf': 0.6083237767919698, 'USER_CF': 0.5083174286661851} - results: ROC_AUC: 0.1140158, PRECISION: 0.0185396, PRECISION_RECALL_MIN_DEN: 0.0617986, RECALL: 0.0617986, MAP: 0.0298081, MRR: 0.0816641, NDCG: 0.0510870, F1: 0.0285224, HIT_RATE: 0.1853957, ARHR: 0.0854772, RMSE: 0.9661714, NOVELTY: 0.0053410, AVERAGE_POPULARITY: 0.6091851, DIVERSITY_MEAN_INTER_LIST: 0.8849193, DIVERSITY_HERFINDAHL: 0.9884865, COVERAGE_ITEM: 0.2656394, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0744642, SHANNON_ENTROPY: 7.8806791, 
SearchBayesianSkoptObject: New best config found. Config 7: {'USER_CBF_Cf': 0.24794637772016587, 'USER_CF': 0.11357066648136219} - results: ROC_AUC: 0.1147491, PRECISION: 0.0187620, PRECISION_RECALL_MIN_DEN: 0.0625399, RECALL: 0.0625399, MAP: 0.0300374, MRR: 0.0820948, NDCG: 0.0515291, F1: 0.0288646, HIT_RATE: 0.1876197, ARHR: 0.0860334, RMSE: 0.9886471, NOVELTY: 0.0053595, AVERAGE_POPULARITY: 0.6004659, DIVERSITY_MEAN_INTER_LIST: 0.8900333, DIVERSITY_HERFINDAHL: 0.9889978, COVERAGE_ITEM: 0.2647202, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0779042, SHANNON_ENTROPY: 7.9715722, 
SearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'USER_CBF_Cf': 0.23690279717407353, 'USER_CF': 0.6676750854012267} - results: ROC_AUC: 0.1100994, PRECISION: 0.0179280, PRECISION_RECALL_MIN_DEN: 0.0597599, RECALL: 0.0597599, MAP: 0.0292085, MRR: 0.0799826, NDCG: 0.0497742, F1: 0.0275815, HIT_RATE: 0.1792797, ARHR: 0.0837294, RMSE: 0.9737820, NOVELTY: 0.0053118, AVERAGE_POPULARITY: 0.6232545, DIVERSITY_MEAN_INTER_LIST: 0.8764386, DIVERSITY_HERFINDAHL: 0.9876384, COVERAGE_ITEM: 0.2671533, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0695873, SHANNON_ENTROPY: 7.7360641, 
SearchBayesianSkoptObject: New best config found. Config 9: {'USER_CBF_Cf': 0.988870093029839, 'USER_CF': 0.31228960657379873} - results: ROC_AUC: 0.1149106, PRECISION: 0.0188670, PRECISION_RECALL_MIN_DEN: 0.0628900, RECALL: 0.0628900, MAP: 0.0301953, MRR: 0.0824900, NDCG: 0.0517924, F1: 0.0290261, HIT_RATE: 0.1886699, ARHR: 0.0864674, RMSE: 0.9593367, NOVELTY: 0.0053712, AVERAGE_POPULARITY: 0.5950678, DIVERSITY_MEAN_INTER_LIST: 0.8932173, DIVERSITY_HERFINDAHL: 0.9893162, COVERAGE_ITEM: 0.2654772, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0798791, SHANNON_ENTROPY: 8.0266312, 
SearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'USER_CBF_Cf': 0.030280832875517423, 'USER_CF': 0.6020607272795717} - results: ROC_AUC: 0.1063395, PRECISION: 0.0173102, PRECISION_RECALL_MIN_DEN: 0.0577006, RECALL: 0.0577006, MAP: 0.0281912, MRR: 0.0774581, NDCG: 0.0480835, F1: 0.0266311, HIT_RATE: 0.1731019, ARHR: 0.0809442, RMSE: 0.9822835, NOVELTY: 0.0052969, AVERAGE_POPULARITY: 0.6304929, DIVERSITY_MEAN_INTER_LIST: 0.8719986, DIVERSITY_HERFINDAHL: 0.9871945, COVERAGE_ITEM: 0.2684509, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0675017, SHANNON_ENTROPY: 7.6643749, 
