CrossSearchBayesianSkoptObject: New best config found. Config 0: {'Fusion': 5, 'ItemDotCF': 15, 'ItemCBF_CF': 23, 'ItemCF': 11, 'ItemCBF_FW': 4, 'RP3betaSide': 9} - results: ROC_AUC: 0.086264±0.0004, PRECISION: 0.011687±0.0001, PRECISION_RECALL_MIN_DEN: 0.116870±0.0009, RECALL: 0.116870±0.0009, MAP: 0.062071±0.0005, MRR: 0.062071±0.0005, NDCG: 0.075070±0.0003, F1: 0.021249±0.0002, HIT_RATE: 0.116870±0.0009, ARHR: 0.062071±0.0005, RMSE: 0.965166±0.0001, NOVELTY: 0.006265±0.0000, AVERAGE_POPULARITY: 0.243857±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.990303±0.0001, DIVERSITY_HERFINDAHL: 0.999025±0.0000, COVERAGE_ITEM: 0.746342±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.223835±0.0004, SHANNON_ENTROPY: 11.518387±0.0050, 
CrossSearchBayesianSkoptObject: Config 1 is suboptimal. Config: {'Fusion': 6, 'ItemDotCF': 10, 'ItemCBF_CF': 21, 'ItemCF': 15, 'ItemCBF_FW': 23, 'RP3betaSide': 11} - results: ROC_AUC: 0.081470±0.0005, PRECISION: 0.010975±0.0000, PRECISION_RECALL_MIN_DEN: 0.109751±0.0004, RECALL: 0.109751±0.0004, MAP: 0.058649±0.0006, MRR: 0.058649±0.0006, NDCG: 0.070791±0.0005, F1: 0.019955±0.0001, HIT_RATE: 0.109751±0.0004, ARHR: 0.058649±0.0006, RMSE: 0.958218±0.0002, NOVELTY: 0.006037±0.0000, AVERAGE_POPULARITY: 0.218898±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.991411±0.0004, DIVERSITY_HERFINDAHL: 0.999135±0.0000, COVERAGE_ITEM: 0.742103±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.240475±0.0015, SHANNON_ENTROPY: 11.690958±0.0224, 
CrossSearchBayesianSkoptObject: Config 2 is suboptimal. Config: {'Fusion': 2, 'ItemDotCF': 5, 'ItemCBF_CF': 19, 'ItemCF': 12, 'ItemCBF_FW': 9, 'RP3betaSide': 16} - results: ROC_AUC: 0.085458±0.0005, PRECISION: 0.011604±0.0001, PRECISION_RECALL_MIN_DEN: 0.116038±0.0007, RECALL: 0.116038±0.0007, MAP: 0.061354±0.0006, MRR: 0.061354±0.0006, NDCG: 0.074322±0.0004, F1: 0.021098±0.0001, HIT_RATE: 0.116038±0.0007, ARHR: 0.061354±0.0006, RMSE: 0.965059±0.0001, NOVELTY: 0.006201±0.0000, AVERAGE_POPULARITY: 0.244888±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.990068±0.0002, DIVERSITY_HERFINDAHL: 0.999001±0.0000, COVERAGE_ITEM: 0.742309±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.225022±0.0006, SHANNON_ENTROPY: 11.514823±0.0095, 
CrossSearchBayesianSkoptObject: Config 3 is suboptimal. Config: {'Fusion': 9, 'ItemDotCF': 20, 'ItemCBF_CF': 12, 'ItemCF': 1, 'ItemCBF_FW': 11, 'RP3betaSide': 12} - results: ROC_AUC: 0.084359±0.0006, PRECISION: 0.011423±0.0000, PRECISION_RECALL_MIN_DEN: 0.114227±0.0004, RECALL: 0.114227±0.0004, MAP: 0.060742±0.0006, MRR: 0.060742±0.0006, NDCG: 0.073431±0.0005, F1: 0.020769±0.0001, HIT_RATE: 0.114227±0.0004, ARHR: 0.060742±0.0006, RMSE: 0.970389±0.0001, NOVELTY: 0.006140±0.0000, AVERAGE_POPULARITY: 0.236844±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.990278±0.0003, DIVERSITY_HERFINDAHL: 0.999022±0.0000, COVERAGE_ITEM: 0.761590±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.234553±0.0007, SHANNON_ENTROPY: 11.603162±0.0160, 
CrossSearchBayesianSkoptObject: Config 4 is suboptimal. Config: {'Fusion': 9, 'ItemDotCF': 14, 'ItemCBF_CF': 19, 'ItemCF': 14, 'ItemCBF_FW': 6, 'RP3betaSide': 21} - results: ROC_AUC: 0.086170±0.0004, PRECISION: 0.011706±0.0001, PRECISION_RECALL_MIN_DEN: 0.117063±0.0010, RECALL: 0.117063±0.0010, MAP: 0.061945±0.0005, MRR: 0.061945±0.0005, NDCG: 0.075011±0.0004, F1: 0.021284±0.0002, HIT_RATE: 0.117063±0.0010, ARHR: 0.061945±0.0005, RMSE: 0.955428±0.0002, NOVELTY: 0.006259±0.0000, AVERAGE_POPULARITY: 0.251283±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.989684±0.0001, DIVERSITY_HERFINDAHL: 0.998963±0.0000, COVERAGE_ITEM: 0.738913±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.220058±0.0004, SHANNON_ENTROPY: 11.457762±0.0048, 
CrossSearchBayesianSkoptObject: Config 5 is suboptimal. Config: {'Fusion': 12, 'ItemDotCF': 19, 'ItemCBF_CF': 7, 'ItemCF': 0, 'ItemCBF_FW': 11, 'RP3betaSide': 14} - results: ROC_AUC: 0.084052±0.0006, PRECISION: 0.011383±0.0000, PRECISION_RECALL_MIN_DEN: 0.113828±0.0005, RECALL: 0.113828±0.0005, MAP: 0.060469±0.0007, MRR: 0.060469±0.0007, NDCG: 0.073128±0.0005, F1: 0.020696±0.0001, HIT_RATE: 0.113828±0.0005, ARHR: 0.060469±0.0007, RMSE: 0.971531±0.0001, NOVELTY: 0.006127±0.0000, AVERAGE_POPULARITY: 0.241307±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.989808±0.0004, DIVERSITY_HERFINDAHL: 0.998975±0.0000, COVERAGE_ITEM: 0.761763±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.233915±0.0008, SHANNON_ENTROPY: 11.575508±0.0189, 
CrossSearchBayesianSkoptObject: Config 6 is suboptimal. Config: {'Fusion': 12, 'ItemDotCF': 8, 'ItemCBF_CF': 19, 'ItemCF': 11, 'ItemCBF_FW': 23, 'RP3betaSide': 7} - results: ROC_AUC: 0.080553±0.0005, PRECISION: 0.010863±0.0000, PRECISION_RECALL_MIN_DEN: 0.108634±0.0004, RECALL: 0.108634±0.0004, MAP: 0.058031±0.0006, MRR: 0.058031±0.0006, NDCG: 0.070050±0.0005, F1: 0.019752±0.0001, HIT_RATE: 0.108634±0.0004, ARHR: 0.058031±0.0006, RMSE: 0.961137±0.0002, NOVELTY: 0.006012±0.0000, AVERAGE_POPULARITY: 0.214583±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.991602±0.0004, DIVERSITY_HERFINDAHL: 0.999155±0.0000, COVERAGE_ITEM: 0.746969±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.243353±0.0014, SHANNON_ENTROPY: 11.723184±0.0234, 
CrossSearchBayesianSkoptObject: Config 7 is suboptimal. Config: {'Fusion': 4, 'ItemDotCF': 13, 'ItemCBF_CF': 11, 'ItemCF': 19, 'ItemCBF_FW': 5, 'RP3betaSide': 7} - results: ROC_AUC: 0.085224±0.0005, PRECISION: 0.011480±0.0001, PRECISION_RECALL_MIN_DEN: 0.114797±0.0011, RECALL: 0.114797±0.0011, MAP: 0.061422±0.0005, MRR: 0.061422±0.0005, NDCG: 0.074096±0.0004, F1: 0.020872±0.0002, HIT_RATE: 0.114797±0.0011, ARHR: 0.061422±0.0005, RMSE: 0.970375±0.0002, NOVELTY: 0.006314±0.0000, AVERAGE_POPULARITY: 0.231945±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.991369±0.0001, DIVERSITY_HERFINDAHL: 0.999131±0.0000, COVERAGE_ITEM: 0.748602±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.232313±0.0006, SHANNON_ENTROPY: 11.634896±0.0075, 
CrossSearchBayesianSkoptObject: Config 8 is suboptimal. Config: {'Fusion': 6, 'ItemDotCF': 23, 'ItemCBF_CF': 4, 'ItemCF': 21, 'ItemCBF_FW': 3, 'RP3betaSide': 11} - results: ROC_AUC: 0.085120±0.0007, PRECISION: 0.011485±0.0001, PRECISION_RECALL_MIN_DEN: 0.114854±0.0011, RECALL: 0.114854±0.0011, MAP: 0.061405±0.0006, MRR: 0.061405±0.0006, NDCG: 0.074088±0.0006, F1: 0.020882±0.0002, HIT_RATE: 0.114854±0.0011, ARHR: 0.061405±0.0006, RMSE: 0.968314±0.0002, NOVELTY: 0.006384±0.0000, AVERAGE_POPULARITY: 0.238364±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.990954±0.0001, DIVERSITY_HERFINDAHL: 0.999090±0.0000, COVERAGE_ITEM: 0.743952±0.0039, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.231282±0.0007, SHANNON_ENTROPY: 11.596477±0.0052, 
CrossSearchBayesianSkoptObject: Config 9 is suboptimal. Config: {'Fusion': 4, 'ItemDotCF': 12, 'ItemCBF_CF': 13, 'ItemCF': 15, 'ItemCBF_FW': 23, 'RP3betaSide': 4} - results: ROC_AUC: 0.077506±0.0004, PRECISION: 0.010497±0.0001, PRECISION_RECALL_MIN_DEN: 0.104966±0.0008, RECALL: 0.104966±0.0008, MAP: 0.056148±0.0004, MRR: 0.056148±0.0004, NDCG: 0.067725±0.0003, F1: 0.019085±0.0001, HIT_RATE: 0.104966±0.0008, ARHR: 0.056148±0.0004, RMSE: 0.968378±0.0002, NOVELTY: 0.005965±0.0000, AVERAGE_POPULARITY: 0.205704±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.991815±0.0004, DIVERSITY_HERFINDAHL: 0.999176±0.0000, COVERAGE_ITEM: 0.736815±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.246072±0.0019, SHANNON_ENTROPY: 11.747183±0.0292, 
CrossSearchBayesianSkoptObject: Config 10 is suboptimal. Config: {'Fusion': 12, 'ItemDotCF': 15, 'ItemCBF_CF': 9, 'ItemCF': 16, 'ItemCBF_FW': 16, 'RP3betaSide': 24} - results: ROC_AUC: 0.084624±0.0005, PRECISION: 0.011502±0.0000, PRECISION_RECALL_MIN_DEN: 0.115024±0.0005, RECALL: 0.115024±0.0005, MAP: 0.060855±0.0006, MRR: 0.060855±0.0006, NDCG: 0.073698±0.0004, F1: 0.020914±0.0001, HIT_RATE: 0.115024±0.0005, ARHR: 0.060855±0.0006, RMSE: 0.954818±0.0002, NOVELTY: 0.006164±0.0000, AVERAGE_POPULARITY: 0.242855±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.990055±0.0003, DIVERSITY_HERFINDAHL: 0.999000±0.0000, COVERAGE_ITEM: 0.741487±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.228638±0.0007, SHANNON_ENTROPY: 11.540493±0.0147, 
